공연코드,출연진내용,검색량,출연횟수
PF376289,"권새롬, 민경식, 박혜은, 오주연, 김혜미",0,26
PF376703,"송정민, 신지아, 박정호, 심선민",0,27
PF376428,"양정윤, 일리야 라쉬코프스키",8070,52
PF379989,"김미가, 최주영, 권기혜, 조현지, 신한수, 문지호, 양정민 등",0,3
PF378691,김남호,0,9
PF377107,임경원,0,11
PF379976,"최공주, 박재린, 홍성수, 박효민, 김욱, 김유경, 변정인 등",0,6
PF378976,"에르완 리샤, 박노을, 이화영, 김효영",0,35
PF377104,이가키 히데유키,0,5
PF372580,"김민조, 윤인희",0,12
PF372180,박종화,640,60
PF373229,조소연,0,14
PF372583,한승화 등,0,2
PF361168,"허경호, 이선미",0,3
PF372582,"김란도, 문정재",0,28
PF373510,"박성미, 안종현, 전소영",8070,52
PF360139,"안대현, 김은진",0,2
PF376854,문재원,790,14
PF377676,"정영하, 이용근, 정성윤, 권영인, 김재용, 이용근, 정진희 등",0,18
PF376299,이태정,0,7
PF376159,"김수금, 임정희, 이윤정, 한은영, 곽나영, 김우중, 이지현 등",0,23
PF376628,"강지원, 유예리",0,1
PF376604,"안명주, 이윤정, 김동진, 고가정선, 이석준, 김용배",0,44
PF377450,김정림,0,8
PF377480,정지강,0,6
PF378368,"임재성, 우미영, 이용근, 정성윤, 히로타 슌지, 조윤조, 손지혜 등",0,24
PF376972,"전성해, 장우리 등",0,20
PF377330,유미정,0,2
PF370874,"왕혜진, 허자경",0,9
PF370680,"박서영, 김나정, 홍수연, 이재은, 한지은",0,55
PF371399,임리라,0,12
PF373009,"김유진, 김한길",0,1
PF375684,피오트르 쿠프카 등,0,1
PF375253,김수련,0,20
PF378820,채주연,0,1
PF378963,"강은규, 김혜선, 박현주, 이현민, 박광우, 정선희, 최우제 등",0,14
PF378724,이지현,0,1
PF378953,"박지은, 김봄날",0,22
PF379447,"손소이, 유재연",0,15
