공연코드,출연진내용,검색량,출연횟수
PF386903,임지연,0,8
PF386704,"나채원, 김재원",0,9
PF386526,"박혜준, 김주영",0,16
PF386567,김동규,0,6
PF386216,"박우빈, 최민경, 이귀란, 이진, 홍상희, 최수은, 권혜인 등",0,7
PF386264,"송지원, 홍소유",720,28
PF386572,정영안,0,16
PF386642,"김형찬, 고성헌, 이현애, 김재윤, 김용식",0,9
PF385001,채문영,60,12
PF386440,"김유미, 박미정, 노인경",0,7
PF386524,,0,0
PF386723,곽나영,0,11
PF386792,서지원,0,5
PF386838,독고영,0,3
PF386848,"장우리, 문정재, 윤여영",0,27
PF386924,"유리슬, 이섬승",0,4
PF386956,"장선우, 문정재",0,5
PF386985,"황인영, 김고운",90,4
PF386039,방정아,0,3
PF386151,"김신영, 박영성",0,2
PF387265,"김정인, 안세훈, 홍윤호, 김근혜, 박희연",0,3
PF387363,"김우진, 오윤주, 김홍민, 이경진, 허철",0,8
PF387300,서필원,0,2
PF387516,"김영은, 이성은",0,23
PF386884,태선이,0,9
PF386921,정선미,0,1
PF386087,박지은,0,12
PF386139,정의경,0,3
PF387486,김소연,1860,5
PF387760,최현아,0,7
PF387540,윤정인,0,2
PF387663,정상욱,0,2
PF388386,"박성미, 안종현, 전소영",0,13
PF388584,유미향,0,11
PF387460,원종호,0,2
PF387111,"김현곤, 송정민, 장재영, 김은경 등",0,8
PF387825,"황소진, 김고운",90,27
PF388351,"권수미, 유지수",0,21
PF387751,"김혜진, 홍소유",0,10
PF387185,"오병철, 한상일, 임시내, 오은철, 김유성",1490,28
PF388231,"박진수, 송영민",0,28
PF387045,신지연,20,29
PF387072,강정은,0,5
PF387814,"장혜진, 쿠프카 피오르트",0,1
PF392572,"김연정, 정도행",0,5
PF389400,이철민,0,3
PF389405,"김광훈, 김용진",0,19
PF389885,"송영민, 장우리, 고상지, 김진택, 이시현, 장영광",0,28
PF389176,"전진주, 민경식",0,3
PF380561,"윤혜리, 곽연희, 채재일, 표규선, 이규성",0,33
PF380149,"김태희, 이혜원, 노선경, 설수경, 이문희, 정세훈, 유도원 등",0,3
PF380181,"설수경, 유호정, 이의진, 정재은, 조영미, 이혜성, 심옥식",0,7
PF381353,"김종우, 임재경, 이귀숙, 송경훈, 정성윤, 김유경, 안세훈 등",0,4
PF380352,"이주연, 정수현, 김수연, 문정원",6520,15
PF380499,"김범구, 윤여진, 이재호, 김지은, 임요섭, 최정아, 서정심 등",0,6
PF380882,"임홍균, 연정흠",0,8
PF380431,김희진,0,2
PF380712,이가키 히데유키,0,5
PF381899,"김유경, 박신혜, 김민희, 안세훈, 변정인, 윤석우, 이은지 등",0,3
PF380753,"박미희, 홍소유",0,10
PF380910,"변진, 이승희",0,1
PF381632,"양재웅, 이루사, 성현경, 서민정, 심윤숙, 장성은",0,6
PF380491,김다혜,0,1
PF381494,"김윤진, 김윤기",0,5
PF381308,이영우,0,24
PF381716,"윤서우, 김동선",0,3
PF380066,신해신,0,1
PF380699,"이태정, 채경애, 노원빈, 이현지, 이윤희",0,7
PF380329,김수영,0,2
PF381392,"한경진, 박영성",0,13
PF381858,"김헤선, 이명신, 강진희, 양재희, 전수미, 한나형, 백경원 등",0,7
PF381931,박소영,0,2
PF380537,이정수,0,1
PF381856,노예진,460,8
PF380468,이효원,0,3
PF381334,김성현,0,6
PF381802,"이새롬, 이진영",0,5
PF381783,"하정원, 유재연",0,3
PF392344,"한기정, 조지연, 안신영, 양고운",0,6
PF381784,"박수진, 이혜영",0,3
PF381742,"임선영, 김재원",400,8
PF380193,"이기석, 최현호",0,3
PF380603,임남희,0,13
PF381571,김예슬,0,26
PF381746,정민경,0,6
PF381745,"권그림, 홍소유, 신효건, 김신영",0,10
PF381305,윤성영,0,2
PF392841,"윤덕희, 안가을, 전혜현, 나은일, 이지아",0,1
