공연코드,출연진내용,검색량,출연횟수
PF309342,"김현아, 김회진, 김상진, 이수민, 김호정, 박노을, 임경원 등",0,118
PF300335,"고의석, 하림, 손원진, 이기현",0,90
PF309234,이재영,0,1
PF308091,"주연경, 주연선",0,5
PF309831,"이인학, 윤소영, 최윤성",0,14
PF309496,"김은식, 김호정, 장명규, 김정선, 구자은, 송영민, 강무림",0,38
PF309747,"신용천, 김규리, 아렌트 흐로스펠트, 강지연, 김지영, 이효원, 전현호 등",0,2
PF308002,임창한,0,2
PF309905,정소영,0,4
PF300260,"유이삭, 김은찬",260,1
PF309801,"박선영, 백준영, 진유정, 한나숙, 이미란, 권용만, 김경천 등",0,11
PF309228,"정승연, 김태진",0,22
PF309952,최윤아,0,6
PF300010,"오현용, 박환희",0,2
PF300470,"권지영, 김성희, 김지현, 김향미, 안미현, 오윤주, 이경 등",0,6
PF309809,"김혜란, 정욱",0,4
PF300813,"정성윤, 이은지, 장지애, 이광일, 박신혜, 윤석우, 이슬기 등",0,13
PF300761,조혜정,0,18
PF300600,"강철, 맹영욱, 박수빈",0,1
PF300482,"정수안, 정영안",0,20
PF300438,"박상희, 이윤지, 김현심, 박지영, 신민원, 전수미, 최재도 등",0,18
PF301324,"이승동, 오상은",0,8
PF300952,"신미정, 김수연, 정선이, 조상운",6520,17
PF300094,"손소이, 김민욱, 윤혜성, 강민정, 송화현, 이상민, 서성은",0,3
PF300059,"김종호, 조시온",0,2
PF300632,송유진,120,6
PF300628,"정수현, 문정원, 김수연, 이주연",0,16
PF309912,"유성민, 한지은",0,10
PF300032,"박노을, 에르완 리샤, 히로타 슌지",0,23
PF301396,유지수,0,21
PF300435,"이인아, 이승원, 최정우",0,1
PF309150,유문선,0,4
PF300344,천혜영,0,13
PF309036,"김희재, 최현아",1310,7
PF301830,"김현주, 윤예지, 윤경희, 임금희, 이정은, 최주희, 박현주 등",0,13
PF309134,"정호진, 쿠프카 피오트르",0,12
PF300836,"정원순, 이혜정, 김성은, 이숙정, 강지은",0,29
PF309917,"염은하, 한지은",0,10
PF309072,이승민,0,2
PF300518,"이연주, 문정재, 이석준",5420,27
PF300034,"문지원, 송영민, 심선민",0,38
PF300400,신범수,0,5
PF301917,"윤혜경, 황지수, 홍성민, 이현수, 김정아, 김호용, 김예슬 등",0,6
PF300974,"강호선, 박주연",0,2
PF300483,전클라라홍주,0,1
PF301762,"김범, 김종현, 지성민",0,5
PF301491,"김홍연, 이유정",0,0
PF301455,"양현호, 신재민, 주승민",0,2
PF312731,"장선일, 김청은, 이혜성, 최진화, 이귀숙, 이만방",0,2
PF301123,"이정은, 이성우, 김현나, 김은혜, 황혜재, 최윤성, 윤지현 등",0,10
PF301836,"박준석, 최은주",0,1
PF301302,"권그림, 노예진",460,8
PF301249,히로타 슌지,0,5
PF312341,"정민정, 정상희, 정승연",0,35
PF301882,"김삶, 변정은",0,5
PF312345,"김현아, 이세영, 윤은규, 최규정, 서수민, 에르완 리샤, 이수민 등",0,30
PF301918,"김광훈, 김동선",0,19
PF312846,"권영진, 배성은, 박지현, 이수정, 박예은, 김욱, 김아름 등",0,5
PF312401,"신성희, 민경식",0,27
PF312758,이영우,0,25
PF312738,"김소연, 윤현임, 조성현 등",0,16
PF312466,"윤원준, 이명선",0,1
PF312302,양윤희,0,6
PF312779,"김유진, 박동석, 박수미, 양훈지, 이승연, 이하얀, 전율경 등",0,3
PF312086,"박현주, 김민지, 이정원, 이재필, 이경호, 조찬욱, 최용석 등",0,7
PF313766,"유우연, 조효단, 윤정원, 정선인, 지유경, 김현남, 라세원 등",0,5
PF313465,"안명주, 홍성수, 서운정, 이은지, 문지원, 변정인, 김경란 등",0,10
PF301513,"곽나영, 문재원, 임성윤, 서수민, 박혜준",790,8
PF301922,"문록선, 전지훈, 정욱, 정제윤",0,22
PF300931,"오지현, 민경식",0,27
PF301175,나다솜,0,2
PF313644,"김정수, 박채린, 박운주, 박재은",0,9
PF314367,"김유경, 박신혜, 변정인, 윤석우, 정성윤, 이은지 등",0,3
PF301764,"이서현, 홍인경",0,4
PF313556,"전나경, 이문영, 김아란, 김수연, 김경란",930,17
PF313455,"박경화, 박영성",0,6
PF301108,장린,0,5
PF312367,유미향,0,11
PF313153,"박경후, 박채린, 박준태",0,2
PF312594,"김수연, 김성진, 김지혜, 안효정, 이항석, 류경주, 서지원 등",0,5
PF313877,"최용기, 박재성, 주동우, 이현강, 김병천, 김순희, 최수지 등",0,5
PF313535,"한성은, 문재원",790,14
PF314742,"김동수, 고태은, 김수혜, 홍승기, 김주형, 김지영, 강동규 등",0,5
PF314325,"임선영, 강자연",790,5
PF314589,곽웅식,0,1
PF313870,"정지강, 윤형숙",0,8
PF312083,"김수영, 황수연, 손소정, 김혜리, 노유리, 김예슬, 주정미 등",0,3
PF313753,"이다미, 유수정",0,6
PF312099,"이숙현, 문정재",5420,27
PF314308,"윤현임, 히로타 슌지, 유영주, 김소연",0,16
PF313461,이민영,0,12
PF314403,"이동우, 이경미, 전미영",0,2
PF313459,"박혜준, 김수연, 최영민, 최리라",0,15
PF314715,박성열,0,6
PF313865,"한경진, 박영성",0,13
PF314563,박주영,150,1
PF312092,"장우리, 문정재",5420,27
PF314669,"김태희, 임혜수, 이민환, 윤천기, 전혜진",0,2
PF312146,"강드보라, 최인영",0,15
PF313276,"김형일, 문재원",0,10
PF314011,채문영,60,12
PF313189,"김현아, 빈센트 드 브리스",0,30
PF314490,"이소영, 윤효린",30,24
PF313971,"한지혜, 김한길",0,1
PF314479,"최윤경, 안미현",0,26
PF314353,"신민철, 김영중",0,2
PF313957,"한연숙, 정선인",0,3
PF313310,김예슬,0,3
PF315234,강정은,0,18
PF314840,"강주이, 민경식, 김선정, 황민웅",0,26
PF313040,윤정은,0,2
PF315040,"이준철, 윤효린, 강재환, 고경훈",0,5
PF314068,"조재현, 민경식",0,26
PF314584,황의원,0,7
PF313140,"정의경, 최예지, 장은정",0,7
PF315479,"배시온, 박진우",8020,51
PF315058,"최민지, 이승연",0,3
PF315053,"이지현, 이섬승",0,9
PF315482,"이윤의, 김기경, 추대희, 최혜정",60,11
PF313024,박미정,0,12
PF315813,"김정기, 박정민, 김수홍, 왕혜인",0,5
PF314120,"장선아, 정은지, 문정재",5420,27
PF313633,"이어진, 송태진, 최현호, 배기태",0,2
PF315408,"고하진, 김지연",0,6
PF315938,왕혜진,0,9
PF315903,"최송하, 선율",650,9
PF315409,"권혜진, 문재원, 오태형, 서영일",790,14
PF314189,"손형원, 박진우, 박서진, 이소란, 안세훈, 조재현, 박준태 등",0,4
PF314519,이상은,0,10
PF316537,"유미향, 유신혜",0,11
PF315982,"박고운, 박진우",8020,2
PF316552,김정휘,0,51
PF315740,"정선미, 천슬기, 정윤혜",0,2
PF315008,"우영욱, 홍청의, 이충헌",0,15
PF316015,"정하나, 신지아",0,11
PF317211,"이기헌, 강세라",0,4
PF315733,"최주연, 이선호",1310,7
PF316581,"조혜진, 양기훈",0,26
PF317813,김정은,820,16
PF316492,"김예원, 문재원",790,14
PF317875,임현진,150,5
PF316334,홍유진,0,2
PF316028,"강하연, 김도연",0,2
PF317574,"유경석, 이영교",0,2
PF316993,김지현,0,5
PF316960,"장형원, 박다솜",0,2
PF316122,"최정윤, 박선아",0,3
PF314576,문웅휘,0,12
PF314772,오연택,0,3
PF314777,"하유나, 박상욱",0,7
PF314774,김 솔 다니엘,0,2
PF317110,이유림,0,1
PF318700,노유리,0,4
PF317964,"김소연, 김종윤",0,9
PF317637,"오유진, 이호찬, 홍지영, 현영경",0,14
PF318981,"이경민, 김소연",2160,11
PF317262,"장희진, 박로한",0,3
PF317394,"김도연, 에드윈 킴",0,5
PF318079,"강석연, 한지은, 이지윤, 허준화, 고진호, 송지현",0,12
PF317485,지유경,0,3
PF319587,"박보라, 방기수, 이미림, 김지우, 곽세현",80,2
PF318932,"정선이, 이민정",220,9
PF319768,김예인,0,1
PF318731,"지광윤, 임효선, 나성인",280,33
PF317572,"이보경, 이제찬, 이지혜",0,11
PF317118,"장은정, 최현호",0,5
PF318147,오수안,0,1
PF318930,박노훈,0,1
PF317050,"홍윤호, 김종윤",0,9
PF318938,이주은,0,5
PF319245,"강주이, 김현아, 박미희, 이수민, 양승희, 박노을, 이세영 등",0,30
PF319767,김문정,3560,19
PF319665,"노소희, 성해린",0,5
PF319009,"강주영, 박민희, 이영은",0,6
PF319464,"정원순, 이상희, 권명혜, 최예선, 장희진, 이숙정, 장하얀 등",0,33
PF319253,"이지혜, 민경식",620,28
PF319659,계명선,0,12
PF319613,이혜경,0,11
PF319508,"강나영, 최한결",0,1
PF319275,"서주희, 서주연",0,9
PF319807,"김지현, 한지희, 노은경",0,14
PF319525,한지민,0,2
PF310542,노예진,460,8
PF319029,"조동현, 김재원",1930,164
PF310507,"김운성, 박동의",0,19
PF319740,"김정민, 정호정",40,31
PF319901,"한여진, 윤효린",0,5
PF319868,"박광우, 김지연",30,6
PF319034,이택기,0,15
PF319626,"이준서, 황보영",0,30
PF311465,"이지은, 허지은, 일리야 라쉬코프스키",8070,52
PF310023,남희정,0,7
PF310441,"조윤정, 박진우",8020,51
PF311737,"이은지, 강성준, 정민정, 임재성, 이태정",0,35
PF310876,"윤여민, 김하림, 권새롬, 박지용, 조성덕, 차준호, 송종헌",0,6
PF310355,"임경원, 채문영",60,12
PF311054,"손한요, 임정연, 이지은, 김지현, 김선우, 유신혜, 박소현 등",0,15
PF310165,"허재영, 이승희",0,16
PF311793,"최선유, 진영선",0,3
PF311373,"에르완 리샤, 히로타 슌지",0,22
PF311273,"유수진, 진영선",0,7
PF310759,"손주희, 일리야 라쉬코프스키",8070,52
PF310977,"이마리솔, 그레이스 여",0,5
PF311024,"표규선, 박미정, 조기화",0,10
PF311552,"박찬호, 노예진",830,3
PF318744,"박유신, 김재영, 김영욱, 박지윤, 김세준, 이한나, 브래넌 조 등",6770,24
PF311572,안미현,0,26
PF422581,,0,0
PF422301,"이용근, 진영선, 정영하, 황소진, 김은혜, 유경화, 정진희 등",0,17
PF311279,송하나,0,1
PF311923,"김현남, 조가현, 박재린, 나은아, 김정은, 공세정, 변정인 등",0,18
PF422343,"정민경, 이승연, 이채영, 이항석, 강미사",0,5
PF311601,이주원,0,1
PF422327,"임태훈, 김정은",0,16
PF422860,,0,0
PF423202,"정원순, 이상희, 권명혜, 최예선, 홍윤호, 이숙정, 장하얀 등",0,24
PF310060,이정선,0,1
PF422308,"권명, 최현호",0,17
PF311140,정영미,0,3
PF422303,백승록 등,0,1
PF311068,"배성우, 김재원",1930,170
PF311558,"김효선, 문종인",0,2
PF422743,"박수원, 문정재",5420,27
PF311071,"소현진, 유세형",0,2
PF422310,"김형주, 정민정",0,34
PF422313,"김은기, 신민철, 김만기, 엄태윤",0,2
PF423553,"김원미, 최진석, 조선아, 이유빈, 양남진, 성경현, 장태준 등",0,3
PF422099,"황수진, 김승언, 이명하, 배석원, 전태일, 정영하",0,17
PF422889,"강석원, 홍청의",0,15
PF422829,이종은,0,1
PF422815,"손창인, 송영민, 김범 등",3730,38
PF423380,"김남중, 일리야 라쉬코프스키, 노은아, 서수복",8070,52
PF422698,"하세연, 이섬승",0,9
PF311879,"허정인, 일리야 라쉬코프스키",0,52
PF422741,"최정은, 장하얀, 이호찬, 김도연, 남유리나",0,14
PF422736,"김진경, 진영선",0,3
PF423731,"황인영, 강자연",0,4
PF422027,이보미,0,2
PF422903,홍서현,0,1
PF423294,"기주희, 한지은, 이준목",0,55
PF423847,"나재령, 히로타 슌지",0,5
PF422508,"곽지승, 서향희, 쿠프카 피오트르",0,6
PF425589,"김영진, 송경훈, 이수정, 신이은, 장지애, 현종찬, 윤혜성 등",0,19
PF424644,"손주앙, 김가람",930,22
PF423682,"임성윤, 문정재, 장우리",0,27
PF423845,"김효정, 문정재",0,27
PF424648,"신혁진, 이재구, 이재훈, 안성민, 최한별, 바상연, 김연지 등",0,3
PF422187,"권오현, 박진우",8020,51
PF422606,"최윤경, 이혜진",0,4
