공연코드,출연진내용,검색량,출연횟수
PF398284,이진현,0,1
PF398398,"정희석, 김보경, 강지연",0,14
PF396756,김은아,0,3
PF397095,강효정,0,2
PF397092,"강윤지, 강민희",0,7
PF397895,"하종수, 홍윤호, 배성우, 임호열, 이희명",0,10
PF397185,"박고운, 박진우",20600,51
PF398266,"송정민, 김경주, 신지아",0,10
PF397530,"황소진, 박진우",8020,51
PF397110,"장선우, 문정재",5420,27
PF397158,"장우리, 송영민",3730,38
PF396182,"전민경, 유재연",0,4
PF397999,"강지영, 김민준",0,1
PF398314,"안정희, 박미애, 신정혜, 허미경, 박지영, 김방술, 홍정희 등",1910,10
PF397555,"김현미, 강자연",0,10
PF398979,"나다솜, 김윤정, 안희정, 윤혜영, 김연경, 조현수, 오예림 등",0,3
PF396173,유민지,0,1
PF397776,"변현조, 한지은",0,10
PF397839,"송지원, 진영선",36700,16
PF398473,"장선아, 정은지",0,2
PF397886,"팽지예, 성해린",660,1
PF398259,"김원미, 김나연, 이은지, 정수진, 이국원, 양진",0,2
PF397996,"박상민, 송영민",3730,38
PF397775,백한올,0,2
PF399449,"형수운, 노현진",1890,4
PF303126,"정수안, 정영안",3360,10
PF397689,"이은호, 김재원",1930,164
PF398434,"김보라, 김은찬",0,1
PF397561,안화영,0,3
PF398351,"소재완, 조세령, 임재성",0,14
PF398889,"한경석, 한유경",0,17
PF398120,"변정인, 이은지",0,2
PF397063,"고관수, 김재원",1930,164
PF399326,"김대욱, 유초롱",0,6
PF399321,"이소정, 박진우",8280,51
PF399325,"곽지승, 문정재",5420,27
PF398026,원아영,0,1
PF399675,"백향민, 일리야 라쉬코프스키, 이깃비",8070,52
PF399508,노윤정,0,5
PF399024,"이윤의, 김기경",8020,12
PF397414,임기욱,0,3
PF399589,"김예현, 이예솔",0,3
PF399872,"이선행, 김고운",90,2
PF390259,"변예진, 김고운",90,10
PF399167,이은화,0,1
PF390010,임호열,0,2
PF399793,"이영은, 이지은",30,2
PF399504,"정담온, 황보영",2290,30
PF390664,"정선이, 이민정",220,9
PF390438,"김운성, 이혜영",0,11
PF390901,정혜연,0,9
PF399092,"이상은, 한지은, 박서영",0,55
PF399844,황소원,0,5
PF390232,"임지희, 한지은",0,10
PF399995,"나재령, 히로타 슌지",0,21
PF390394,"장혜리, 박진우",8020,51
PF399963,"이석준, 김정은",0,10
PF399114,"김민조, 윤인희, 서범수",0,10
PF390787,김나영,230,5
PF390731,"양영욱, 박동의",0,5
PF399180,박인미,0,1
PF390357,"태선이, 정재원",0,10
PF390504,"김수연, 민경식",930,17
PF390816,"김현아, 박미희, 최규정, 서수민, 이수민, 박노을, 임경원 등",0,23
PF390333,"라세원, 이영우, 안재현",0,9
PF390747,"왕혜진, 허자경, 한혜리",0,9
PF390058,정다슬,0,8
PF390147,"성경주, 최승리",0,13
PF390066,"김태영, 김재원",1930,164
PF302205,박미정,0,12
PF390620,"김미령, 표트르 쿠프카",0,10
PF391663,이윤수,0,6
PF391769,정지강,0,11
PF391975,"김민지, 정원강, 류정연, 윤염광, 홍보경, 우지현, 정상욱",0,2
PF391615,김문정,3560,10
PF390177,"나윤주, 박휘암",0,10
PF391318,임홍균,0,8
PF390096,"한지은, 박지현",0,5
PF391548,"장영광, 이지혜, 왕명호",80,4
PF390009,"표규선, 박미정, 조성현, 김진택",140,37
PF391815,"이송희, 박휘암",0,5
PF302645,"박신혜, 이은지, 윤재현, 장영광, 장우리, 윤염광, 박재린 등",0,10
PF391469,김수련,0,10
PF391819,"윤여민, 김하림, 차준호, 조성덕, 박지용, 문혜주",0,4
PF391667,박미정,0,12
PF390636,"김형석, 윤인희",0,5
PF391176,"박준태, 문정재, 이석중, 반선경, 진덕, 윤여훈",5420,27
PF302228,"채유미, 어수희",0,14
PF391973,"조정민, 박진우",8020,51
PF302453,"손치호, 서지은, 정보희",0,10
PF391501,"마이클 울프, 최인선, 김상진",0,10
PF302372,"권새롬, 민경식",0,10
PF302207,"배시온, 이선호",1310,10
PF302437,"권명혜, 김다혜",0,4
PF391142,조가람,40,4
PF302164,"신승환, 김지혜, 장우리",0,10
PF302240,"정승원, 황보영",0,10
PF391116,"김상희, 이미란, 최재도, 송현정, 김지수, 윤명자, 김은경 등",0,10
PF302685,노예진,460,8
PF303273,"이혜경, 양수아, 정겨운, 심정은, 유지현, 배종선",0,11
PF391350,"최예림, 정소라",0,2
PF391404,"빅터, 루이스 델 발레, 김영윤, 심선민",0,6
PF391175,"신희선, 현영경",0,2
PF391450,"이주영, 송지원, 박규민, 김상진, 이한나, 김재윤, 심준호 등",1710,116
PF302757,"김만기, 진영선",0,3
PF303498,"박가경, 엘레나 아발리안",0,6
PF302007,"김수금, 임정희, 이윤정, 한은영, 석유리, 곽나영, 이미성 등",0,10
PF303215,"전소영, 이상미",0,11
PF302814,이주원,0,6
PF302971,최재원,0,12
PF391191,"홍채원, 김혜지, 박재준, 박하문, 이호찬, 이은지",0,4
PF303613,"공세정, 문정재",5420,27
PF391105,"이상희, 권명혜, 최예선, 조재현, 이숙정, 장하얀, 신동성 등",3110,31
PF303395,"이지윤, 문정재",5420,27
PF302425,"이마리솔, 문재원",790,14
PF302413,"배장흠, 김준희, 최정원, 이문경, 정다운, 김아란, 박건우 등",980,26
PF303722,"김순희, 박미정, 장우리",0,20
PF303886,"이현옥, 황민웅, 송영현, 고관수",0,10
PF302255,"임경원, 채문영",60,11
PF304684,"박혜은, 이건수, 오병철, 앙송희",0,5
PF302835,"박재준, 송영민",5420,38
PF303639,이가키 히데유키,0,5
PF304069,"장명서, 김태현, 윤석우, 박계전, 변정인, 이은지, 황영남 등",0,3
PF304244,김민준,0,4
PF302973,"나윤아, 정소윤",30700,6
PF303561,"허재영, 이승희",0,10
PF303786,조지현,0,19
PF302163,"심선민, 송영민, 문지원, 남상봉",3730,38
PF303228,"양승희, 임성윤, 최규정, 강주이, 서수민, 에르완 리샤, 이유미 등",0,14
PF303491,"박혜지, 이안드레, 오지성, 김용진",0,3
PF303474,"이혜정, 이미연",120,10
PF304700,유의정,0,1
PF303692,"함인아, 배현희, 정영만",0,16
PF303508,"허정인, 최현호",0,2
PF304251,"조영미, 조영창, 김상진, 최정은, 김문정, 박동석, 이윤의 등",0,10
PF305746,"김욱, 이은지, 김민희, 황요한, 김은지, 윤유정, 김보혜 등",0,9
PF303527,"김혜란, 이경원, 이정아, 김정수, 설지영, 강지혜, 이린다 등",0,10
PF304851,"지중배, 김유경, 박신혜, 박동석, 박진영, 변정인, 강태영 등",0,5
PF302114,서윤정 등,0,2
PF303634,이호열,0,1
PF303053,오소라,0,9
PF303169,"이정화, 허자경",0,4
PF302912,"오민정, 윤서진, 표규선",0,5
PF304083,"정혜원, 차승희, 김보경, 양은영, 홍은영, 이춘혜, 김보라 등",0,10
PF304574,"한예지, 이예린, 박채린",0,10
PF305253,"이혜원, 박미정",0,4
PF304177,"윤소영, 허철",0,6
PF305006,"이석중, 박진우",8020,51
PF305000,김정훈,0,2
PF303160,이윤희,0,3
PF305281,"김예현, 이봉환, 이용근, 인태영, 김지환",0,6
PF305477,이영우,0,9
PF305029,"김연진, 최현정, 이수미, 홍지연",0,9
PF306518,임리라,0,9
PF305602,"유효정, 박진우",8020,51
PF304701,"이선영, 김대연, 윤철희",0,10
PF305020,"정예원, 김지은, 김태희, 이소윤, 이선영, 부윤정, 박소현 등",0,10
PF305879,정민경,0,6
PF305857,홍혜도,0,10
PF305252,"이준우, 김가람",50,10
PF305821,김동규,0,6
PF305093,"정영안, 함인아, 배현희, 정수안",0,10
PF303985,"고기연, 손은정",0,3
PF304913,"박건우, 이섬승",980,10
PF305005,이인지,0,6
PF303111,"김형찬, 송호섭, 손은정",0,11
PF305274,"윤다정, 한수지, 이선호, 임호열, 박연희, 임혜선, 차승안 등",0,2
PF305149,"윤소영, 최지웅, 한수혜, 허철, 이창형, 김민찬 등",0,10
PF306519,"김현곤, 송정민, 이범진, 김우연, 장재영, 유문선, 손민 등",0,8
PF305649,박수정,0,3
PF305007,"김정수, 민경식",0,10
PF306071,"김민지, 김한준, 남지민, 이정은, 조인해",130,7
PF304414,신혜영,0,1
PF306702,노유리,0,2
PF306140,"박성민, 김주은, 박동의",0,3
PF398460,양정열,0,1
