공연코드,출연진내용,검색량,출연횟수
PF316368,"이승동, 임현진, 홍승혜, 김지성, 백민아, 조은영, 이시현",150,8
PF317470,"최지환, 배혜리, 김준태, 윤성우, 장윤영, 김은환, 김경선 등",0,2
PF317273,"윤주리, 정성욱, 이희수, 김태영, 우정훈, 최지민, 남다은",0,1
PF318064,이명근 등,0,1
PF318779,,0,1
PF318675,조우성 등,0,1
PF318677,,0,1
PF318960,,0,1
PF316339,"이은호, 최윤경, 백승훈, 어지은, 이재환",0,8
PF318947,"은빛나, 김수지, 김민승, 황진아, 박신해, 전종욱, 정래종 등",0,10
PF317408,"송영민, 최훈락, 정지교, 이선호",3730,38
PF318516,"이영규, 남자은, 오수진, 송정민, 박소연, 이언",0,2
PF318173,"김정현, 이호찬, 임재성",520,10
PF310344,코 가브리엘 카메다,0,1
PF318014,"정수인, 양수연, 함채원, 이규원, 이창희, 엄수형, 김조은 등",0,1
PF318013,"김수지, 이윤하, 김종현",0,10
PF318015,"오혜림, 송정민, 박소연, 박성근, 박지현",0,2
PF319106,"박미선, 박치상, 김상진, 성현정, 이상희, 김효준",0,120
PF310195,"서라미, 김성결, 박성하, 김성연, 김예름, 이현정, 박상희 등",0,7
PF318177,"야로스와브 돔잘, 이동열, 정유진, 배 원, 하세연, 최재호",0,5
PF311264,,0,1
PF318131,"프랑수아 를뢰, 에마뉘엘 스트로세",0,1
PF311846,"김성연, 김가령, 박민혜, 이다영",0,4
PF310662,"백준원, 박영성 등",230,2
PF319100,,0,1
PF310825,"박영민, 김민혜, 이아름, 김대경, 양승진, 양요한, 박순기 등",0,2
PF311143,"정혜진, 남자은, 정효민, 우현수 등",0,5
PF311350,"정혜진, 남자은, 정효민, 우현수",0,5
PF310741,"이상준, 윤현상, 장용환, 김기경",60,11
PF423238,"오용철, 안지훈 등",0,1
PF311884,"안수영, 오국환, 김보혜, 김예름, 엄윤숙, 정지혜 등",0,20
PF423217,,0,1
PF423400,,0,1
PF423325,"이강원, 송정민, 경희설, 이언, 김효준",0,4
PF311804,,0,1
PF423341,"황효정, 박초희, 김현지, 강은실, 박윤정, 금예지, 홍나영 등",0,3
PF422086,"박현수, 조성준, 서혜란, 최진석, 조윤서, 황주윤, 윤찬 등",0,3
PF422147,"김영주, 박에스라, 홍나영",0,3
PF422085,"하지현, 아렌트 흐로스펠트, 장가영, 박해용",0,4
PF423170,"구수민, 오은정, 이동열, 김바하, 이도현, 남자은",0,8
PF423090,"김종현, 정성태",0,12
PF424334,"황지나, 김상은, 박신해, 정래종, 이재훈, 은빛나",0,6
PF425546,"이정아, 배혜리, 이영규, 백민아, 구은정, 최민영, 김아름 등",0,10
PF424911,"이호찬, 박상욱",520,14
PF424030,"김우연, 김재원, 김종호, 이찬희, 고상지",1930,155
PF425801,김혜령,0,9
PF426422,"유시온, 권정민, 김유진, 김현아 정유정, 박재영, 박현아",0,3
